id,titre,prix,localisation,date_creation_iso,date_creation_formatee,date_creation_jour,jours_ecoules
93624293,Paris 6e - 25 m² - 1 pièces,350 000 €,Metro Odéon · 12 Rue Dauphine,2025-11-14T13:45:56.000Z,2025-11-14 13:45:56,2025-11-14,23
93623840,Paris 8e - 77 m² - 3 pièces - 2 chambres,1 150 000 €,Metro Saint-Augustin,2025-11-14T13:42:37.000Z,2025-11-14 13:42:37,2025-11-14,23
93623281,Paris 8e - 53 m² - 2 pièces - 1 chambres,775 000 €,Metro Madeleine · Rue du Faubourg Saint-Honoré,2025-11-14T13:33:33.000Z,2025-11-14 13:33:33,2025-11-14,23
93623268,Paris 18e - 60 m² - 3 pièces - 2 chambres,680 000 €,Metro Marcadet-Poissonniers · 109 Rue de Clignancourt,2025-11-14T13:33:29.000Z,2025-11-14 13:33:29,2025-11-14,23
93623271,Paris 8e - 53 m² - 3 pièces - 2 chambres,775 000 €,Metro Madeleine · Rue du Faubourg Saint-Honoré,2025-11-14T13:33:29.000Z,2025-11-14 13:33:29,2025-11-14,23
93623272,Paris 6e - 37 m² - 2 pièces - 1 chambres,698 000 €,Metro Saint-Germain des Prés · 29 Rue Jacob,2025-11-14T13:33:29.000Z,2025-11-14 13:33:29,2025-11-14,23
93623214,Paris 7e - 48 m² - 2 pièces - 1 chambres,855 000 €,Metro Pont de l'Alma · 21 Avenue Bosquet,2025-11-14T13:32:21.000Z,2025-11-14 13:32:21,2025-11-14,23
93623000,Paris 18e - 53 m² - 2 pièces - 1 chambres,580 000 €,150 Rue Championnet,2025-11-14T13:29:04.000Z,2025-11-14 13:29:04,2025-11-14,23
93622828,Paris 17e - 86 m² - 3 pièces - 2 chambres,863 000 €,Metro Porte de Champerret · 75017 Paris 17e,2025-11-14T13:25:21.000Z,2025-11-14 13:25:21,2025-11-14,23
93582545,Paris 4e - 54 m² - 2 pièces - 1 chambres,790 000 €,Metro Saint-Paul · 10 Rue Beautreillis,2025-11-14T13:11:25.000Z,2025-11-14 13:11:25,2025-11-14,23
93620659,Paris 9e - 40 m² - 2 pièces - 1 chambres,439 000 €,Metro Place de Clichy · 11 Rue Mansart,2025-11-14T12:55:11.000Z,2025-11-14 12:55:11,2025-11-14,23
93572477,Paris 8e - 101 m² - 5 pièces - 4 chambres,1 390 000 €,Metro Villiers · 3 Rue de Lisbonne,2025-11-14T12:52:04.000Z,2025-11-14 12:52:04,2025-11-14,23
93620369,Paris 11e - 34 m² - 2 pièces - 1 chambres,349 000 €,Metro Saint-Ambroise,2025-11-14T12:46:37.000Z,2025-11-14 12:46:37,2025-11-14,23
93620099,Paris 10e - 65 m² - 3 pièces - 2 chambres,745 000 €,Paris 10e (75010),2025-11-14T12:39:51.000Z,2025-11-14 12:39:51,2025-11-14,23
93545052,Paris 4e - 43 m² - 2 pièces - 1 chambres,849 000 €,Metro Cité,2025-11-14T12:30:09.000Z,2025-11-14 12:30:09,2025-11-14,23
93619746,Paris 11e - 46 m² - 2 pièces,519 000 €,Metro Voltaire · 8 Place Léon Blum,2025-11-14T12:29:01.000Z,2025-11-14 12:29:01,2025-11-14,23
93619350,Paris 18e - 76 m² - 3 pièces - 2 chambres,850 000 €,Metro La Fourche · 8 Rue Cavallotti,2025-11-14T12:18:21.000Z,2025-11-14 12:18:21,2025-11-14,23
93618990,Paris 14e - 64 m² - 3 pièces - 2 chambres,721 000 €,Metro Cité Universitaire · 5 Rue Gazan,2025-11-14T12:13:20.000Z,2025-11-14 12:13:20,2025-11-14,23
93618693,Paris 14e - 108 m² - 3 pièces - 2 chambres,1 150 000 €,Metro Alésia · 2 Impasse du Moulin Vert,2025-11-14T12:08:20.000Z,2025-11-14 12:08:20,2025-11-14,23
93618443,Paris 15e - 130 m² - 5 pièces - 3 chambres,1 400 000 €,Metro Montparnasse-Bienvenue · 22 Rue André Gide,2025-11-14T12:03:19.000Z,2025-11-14 12:03:19,2025-11-14,23
93618419,Paris 15e - 61 m² - 2 pièces - 1 chambres,625 000 €,Metro Vaneau · 36 Boulevard du Montparnasse,2025-11-14T12:03:18.000Z,2025-11-14 12:03:18,2025-11-14,23
92995871,Paris 12e - 39 m² - 2 pièces - 1 chambres,349 500 €,Metro Daumesnil · 237 Rue de Charenton,2025-11-14T11:59:43.000Z,2025-11-14 11:59:43,2025-11-14,23
90375083,Paris 7e - 60 m² - 3 pièces - 1 chambres,785 000 €,Metro Alma-Marceau,2025-11-14T11:57:38.000Z,2025-11-14 11:57:38,2025-11-14,23
93469268,Paris 19e - 72 m² - 3 pièces - 2 chambres,500 000 €,Metro Ourcq · 14 Rue de Thionville,2025-11-14T11:57:31.000Z,2025-11-14 11:57:31,2025-11-14,23
93617946,Paris 20e - 83 m² - 3 pièces - 2 chambres,680 000 €,Metro Saint-Fargeau · 57 Rue Saint-Fargeau,2025-11-14T11:47:49.000Z,2025-11-14 11:47:49,2025-11-14,23
93617183,Paris 11e - 43 m² - 2 pièces - 1 chambres,478 000 €,Metro Voltaire · 5 Rue Charrière,2025-11-14T11:29:21.000Z,2025-11-14 11:29:21,2025-11-14,23
93616917,Paris 10e - 62 m² - 2 pièces - 1 chambres,497 000 €,Metro Gare de l'Est · 13 Rue Eugène Varlin,2025-11-14T11:23:11.000Z,2025-11-14 11:23:11,2025-11-14,23
93615600,Paris 14e - 37 m² - 2 pièces - 1 chambres,695 000 €,Metro Saint-Jacques · Avenue Denfert-Rochereau,2025-11-14T11:14:53.000Z,2025-11-14 11:14:53,2025-11-14,23
93572811,Paris 8e - 26 m² - 1 pièces,750 000 €,Metro George V · 33 Avenue George V,2025-11-14T11:09:08.000Z,2025-11-14 11:09:08,2025-11-14,23
93615770,Paris 18e - 130 m² - 4 pièces - 2 chambres,1 595 000 €,Metro Place de Clichy · 104 Boulevard de Clichy,2025-11-14T10:59:13.000Z,2025-11-14 10:59:13,2025-11-14,23
93476233,Paris 12e - 186 m² - 5 pièces - 2 chambres,1 565 000 €,Metro Bel-Air · 7bis Boulevard de Picpus,2025-11-14T10:58:31.000Z,2025-11-14 10:58:31,2025-11-14,23
93615690,Paris 15e - 50 m² - 2 pièces - 1 chambres,538 000 €,Metro Porte de Versailles · 2 bis Rue de la Saïda,2025-11-14T10:57:34.000Z,2025-11-14 10:57:34,2025-11-14,23
93615630,Paris 18e - 62 m² - 3 pièces - 2 chambres,660 000 €,Metro Saint-Georges · 1 Villa de Guelma,2025-11-14T10:56:43.000Z,2025-11-14 10:56:43,2025-11-14,23
93334155,Paris 12e - 122 m² - 4 pièces - 3 chambres,1 199 000 €,Metro Michel Bizot · 3 Place Édouard Renard,2025-11-14T10:41:38.000Z,2025-11-14 10:41:38,2025-11-14,23
